"headingTrace","pageTrace","page_id","section_id","content","enhancedContent"
"RAG System User Guide","RAG System User Guide<_dot_>RAG System User Guide","rag-system-user-guide","rag-system-user-guide","","This content is about 'RAG System User Guide' within the section 'RAG System User Guide'. "
"Introduction","RAG System User Guide<_dot_>RAG System User Guide<_dot_>Introduction","introduction","introduction","The RAG (Retrieval Augmented Generation) System is a powerful tool that combines document storage, vector search, and API functionality to enable semantic search capabilities for your applications. This user guide provides comprehensive information on how to use the system effectively.

The RAG System offers the following key features:
- Document storage with vector embeddings
- Semantic search using pgvector
- RESTful API with FastAPI
- Efficient retrieval of contextually relevant information

This guide will walk you through:
- System setup and installation
- API endpoints and usage
- Query construction
- Best practices for optimal results

Before getting started, ensure you have the necessary prerequisites:
- Python 3.8+
- PostgreSQL with pgvector extension
- Basic understanding of REST APIs

The system is designed to be easy to use while providing powerful semantic search capabilities. By following this guide, you'll be able to quickly integrate the RAG System into your applications and leverage its full potential.","This content is about 'Introduction' within the section 'RAG System User Guide > RAG System User Guide'. The RAG (Retrieval Augmented Generation) System is a powerful tool that combines document storage, vector search, and API functionality to enable semantic search capabilities for your applications. This user guide provides comprehensive information on how to use the system effectively.

The RAG System offers the following key features:
- Document storage with vector embeddings
- Semantic search using pgvector
- RESTful API with FastAPI
- Efficient retrieval of contextually relevant information

This guide will walk you through:
- System setup and installation
- API endpoints and usage
- Query construction
- Best practices for optimal results

Before getting started, ensure you have the necessary prerequisites:
- Python 3.8+
- PostgreSQL with pgvector extension
- Basic understanding of REST APIs

The system is designed to be easy to use while providing powerful semantic search capabilities. By following this guide, you'll be able to quickly integrate the RAG System into your applications and leverage its full potential."
"Getting Started","RAG System User Guide<_dot_>RAG System User Guide<_dot_>Getting Started","getting-started","getting-started","","This content is about 'Getting Started' within the section 'RAG System User Guide > RAG System User Guide'. "
"Installation","RAG System User Guide<_dot_>RAG System User Guide<_dot_>Getting Started<_dot_>Installation","installation","installation","Setting up the RAG System involves installing the necessary components and configuring the environment. Follow these steps to get started:

1. Clone the repository:

2. Create and activate a virtual environment:

3. Install the required dependencies:

4. Set up the environment variables by creating a .env file based on .env.example:

5. Run the database setup script:

   This script will:
   - Install the pgvector extension
   - Create a new database called 'rag'
   - Create a user with appropriate permissions
   - Enable the vector extension in the database

6. Apply database migrations:

7. Start the application:

After completing these steps, the API will be available at http://localhost:8000.

You can verify the installation by accessing the API documentation at http://localhost:8000/docs or by sending a GET request to http://localhost:8000/ which should return a welcome message.

> **Note**: For production deployments, you should use a proper web server like Gunicorn behind a reverse proxy such as Nginx, with appropriate security measures.","This content is about 'Installation' within the section 'RAG System User Guide > RAG System User Guide > Getting Started'. Setting up the RAG System involves installing the necessary components and configuring the environment. Follow these steps to get started:

1. Clone the repository:

2. Create and activate a virtual environment:

3. Install the required dependencies:

4. Set up the environment variables by creating a .env file based on .env.example:

5. Run the database setup script:

   This script will:
   - Install the pgvector extension
   - Create a new database called 'rag'
   - Create a user with appropriate permissions
   - Enable the vector extension in the database

6. Apply database migrations:

7. Start the application:

After completing these steps, the API will be available at http://localhost:8000.

You can verify the installation by accessing the API documentation at http://localhost:8000/docs or by sending a GET request to http://localhost:8000/ which should return a welcome message.

> **Note**: For production deployments, you should use a proper web server like Gunicorn behind a reverse proxy such as Nginx, with appropriate security measures."
"API Reference","RAG System User Guide<_dot_>RAG System User Guide<_dot_>API Reference","api-reference","api-reference","","This content is about 'API Reference' within the section 'RAG System User Guide > RAG System User Guide'. "
"API Endpoints","RAG System User Guide<_dot_>RAG System User Guide<_dot_>API Reference<_dot_>API Endpoints","api-endpoints","api-endpoints","The RAG System provides several API endpoints for interacting with the system. Here's a comprehensive list of available endpoints and their functionalities:","This content is about 'API Endpoints' within the section 'RAG System User Guide > RAG System User Guide > API Reference'. The RAG System provides several API endpoints for interacting with the system. Here's a comprehensive list of available endpoints and their functionalities:"
"1. Root Endpoint","RAG System User Guide<_dot_>RAG System User Guide<_dot_>API Reference<_dot_>API Endpoints<_dot_>1. Root Endpoint","1-root-endpoint","1-root-endpoint","- **URL**: GET /
- **Description**: Returns a welcome message and confirms the API is running
- **Response**: `{""""message"""": """"Welcome to the RAG API""""}`","This content is about '1. Root Endpoint' within the section 'RAG System User Guide > RAG System User Guide > API Reference > API Endpoints'. - **URL**: GET /
- **Description**: Returns a welcome message and confirms the API is running
- **Response**: `{""""message"""": """"Welcome to the RAG API""""}`"
"2. Document Management","RAG System User Guide<_dot_>RAG System User Guide<_dot_>API Reference<_dot_>API Endpoints<_dot_>2. Document Management","2-document-management","2-document-management","- **Create Document**:
  - **URL**: POST /api/v1/documents
  - **Description**: Creates a new document in the database
  - **Request Body**: `{""""title"""": """"Document Title"""", """"content"""": """"Document content...""""}`
  - **Response**: Document object with id, title, content, created_at, and updated_at fields

- **List Documents**:
  - **URL**: GET /api/v1/documents
  - **Description**: Returns a list of documents
  - **Query Parameters**: skip (default: 0), limit (default: 10)
  - **Response**: Array of document objects

- **Get Document**:
  - **URL**: GET /api/v1/documents/{document_id}
  - **Description**: Retrieves a specific document by ID
  - **Path Parameters**: document_id (integer)
  - **Response**: Document object
  - **Error**: 404 if document not found","This content is about '2. Document Management' within the section 'RAG System User Guide > RAG System User Guide > API Reference > API Endpoints'. - **Create Document**:
  - **URL**: POST /api/v1/documents
  - **Description**: Creates a new document in the database
  - **Request Body**: `{""""title"""": """"Document Title"""", """"content"""": """"Document content...""""}`
  - **Response**: Document object with id, title, content, created_at, and updated_at fields

- **List Documents**:
  - **URL**: GET /api/v1/documents
  - **Description**: Returns a list of documents
  - **Query Parameters**: skip (default: 0), limit (default: 10)
  - **Response**: Array of document objects

- **Get Document**:
  - **URL**: GET /api/v1/documents/{document_id}
  - **Description**: Retrieves a specific document by ID
  - **Path Parameters**: document_id (integer)
  - **Response**: Document object
  - **Error**: 404 if document not found"
"3. Query Functionality","RAG System User Guide<_dot_>RAG System User Guide<_dot_>API Reference<_dot_>API Endpoints<_dot_>3. Query Functionality","3-query-functionality","3-query-functionality","- **Search Documents**:
  - **URL**: POST /api/v1/query
  - **Description**: Performs semantic search on documents
  - **Request Body**: `{""""query"""": """"Your search query"""", """"top_k"""": 3}`
  - **Response**: Array of document objects with similarity scores
  - **Note**: The top_k parameter controls the number of results returned (default: 3, max: 10)

All API responses are in JSON format. For detailed schema information, refer to the OpenAPI documentation available at /docs when the server is running.

Examples of using the API with curl:

1. Create a document:

2. Query documents:","This content is about '3. Query Functionality' within the section 'RAG System User Guide > RAG System User Guide > API Reference > API Endpoints'. - **Search Documents**:
  - **URL**: POST /api/v1/query
  - **Description**: Performs semantic search on documents
  - **Request Body**: `{""""query"""": """"Your search query"""", """"top_k"""": 3}`
  - **Response**: Array of document objects with similarity scores
  - **Note**: The top_k parameter controls the number of results returned (default: 3, max: 10)

All API responses are in JSON format. For detailed schema information, refer to the OpenAPI documentation available at /docs when the server is running.

Examples of using the API with curl:

1. Create a document:

2. Query documents:"
"Core Functionality","RAG System User Guide<_dot_>RAG System User Guide<_dot_>Core Functionality","core-functionality","core-functionality","","This content is about 'Core Functionality' within the section 'RAG System User Guide > RAG System User Guide'. "
"Document Storage","RAG System User Guide<_dot_>RAG System User Guide<_dot_>Core Functionality<_dot_>Document Storage","document-storage","document-storage","The Document Storage functionality allows you to store text documents in the system for later retrieval. When a document is stored, it is automatically converted into a vector embedding that captures its semantic meaning, enabling similarity-based search.","This content is about 'Document Storage' within the section 'RAG System User Guide > RAG System User Guide > Core Functionality'. The Document Storage functionality allows you to store text documents in the system for later retrieval. When a document is stored, it is automatically converted into a vector embedding that captures its semantic meaning, enabling similarity-based search."
